x_m,y_m,d_right,d_left
2.2519944669944376,8.45591961751159,0.875,0.9750000000000001
2.3314014281810516,8.694108873735583,0.925,0.925
2.4250053437567862,8.927082869400486,0.925,0.925
2.518467026112914,9.160115541010368,0.9500000000000001,0.925
2.6107706548716036,9.393609925061485,0.9500000000000001,0.9
2.701238645770785,9.627802891681945,0.9500000000000001,0.9
2.78752662519711,9.8635866313078,0.925,0.925
2.8675521636014167,10.101461227893523,0.925,0.9500000000000001
2.940225268200774,10.341790600075376,0.925,0.9500000000000001
3.0075558533171507,10.583631273568626,0.925,0.875
3.07154708189563,10.826416590114848,0.9500000000000001,0.875
3.1402822671778403,11.067886741587975,0.925,0.9
3.210432238253994,11.308964672604993,0.925,0.925
3.282943568384651,11.549341881140307,0.9500000000000001,0.9
3.3561179844100386,11.78951321941102,0.9750000000000001,0.925
3.4347292953979807,12.027966252627602,0.9500000000000001,0.925
3.5128820319399297,12.26656838630156,0.925,0.9500000000000001
3.5895381933104815,12.505657114997339,0.9500000000000001,0.925
3.6592103190872143,12.746702443478766,0.9,0.925
3.7179252270485654,12.990817471382664,0.9,0.925
3.758538476569196,13.238024109317626,0.9,0.9
3.7841740452745753,13.487788808349702,0.9,0.8250000000000001
3.8025579302749377,13.738146855003132,0.9,0.8
3.8178640347766315,13.988756731964147,0.875,0.8
3.8343503668401153,14.23929126970743,0.8500000000000001,0.9750000000000001
3.8506006481890043,14.489811867925246,0.8500000000000001,0.8393799662590027
3.832343609130556,14.74022406369504,0.8500000000000001,0.809844970703125
3.800265366436544,14.987258400215802,0.925,0.9000000357627869
3.700963286903626,15.217863439765829,1.125,1.85
3.5601771774458566,15.410550418889006,1.6500000000000001,1.4000000000000001
3.3394019083972064,15.530124110986922,2.025,1.4000000000000001
3.105598814888878,15.547209654875074,2.025,1.2582948207855225
2.861928883928297,15.486674111505108,1.975,1.1590698957443237
2.6154388751854714,15.439651645638325,1.925,1.1
2.36789589511942,15.397674743829725,1.85,1.0
2.117280184736395,15.387872047029736,1.5250000000000001,1.1
1.8662641523254786,15.382509343864246,1.2000000000000002,1.225
1.6151898566432528,15.383643060365271,1.075,1.35
1.3643122016209523,15.388950135183725,0.9750000000000001,1.35
1.1142436631130126,15.411429310300566,0.9,1.375
0.8638318297489085,15.427364282085351,0.9500000000000001,1.3250000000000002
0.6127838583251446,15.431172603164729,1.1,1.125
0.3617834156253851,15.437026534325804,1.2750000000000001,1.0
0.11082947701319795,15.444881975781364,1.425,0.9500000000000001
-0.13646728218836263,15.482572288600222,1.4500000000000002,1.019689917564392
-0.38188852447208993,15.535562864190076,1.5,1.1189148426055908
-0.6304289088228247,15.570047849925349,1.625,1.2384498119354248
