dataset_role,event_id,method,candidate_budget_k,oracle_v2_hard_feasible,oracle_v2_usable_feasible,hard_valid_recovered,usable_valid_recovered,selected_or_constructed_candidate_count,validator_execution_count,unique_path_count,hard_valid_candidate_count,usable_valid_candidate_count,frozen_artifact_candidate_parity,frozen_artifact_candidate_parity_count,best_hard_path_digest,best_usable_path_digest
DEVELOPMENT,DVE040,PRODUCTION,PRODUCTION,False,False,False,False,7,7,4,0,0,,,,
DEVELOPMENT,DVE040,H3_FIXED_BOUNDED,24,False,False,False,False,24,17,10,0,0,True,24,,
DEVELOPMENT,DVE040,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,12,11,0,0,True,24,,
DEVELOPMENT,DVE040,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,4,4,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE001,PRODUCTION,PRODUCTION,False,False,False,False,12,12,8,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE001,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,17,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE001,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE001,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,12,12,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE002,PRODUCTION,PRODUCTION,False,False,False,False,2,2,1,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE002,H3_FIXED_BOUNDED,24,False,False,False,False,24,17,9,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE002,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,15,9,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE002,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,7,7,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE003,PRODUCTION,PRODUCTION,False,False,False,False,8,8,4,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE003,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,14,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE003,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,18,17,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE003,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,8,8,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE004,PRODUCTION,PRODUCTION,True,True,False,False,7,7,7,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE004,H3_FIXED_BOUNDED,24,True,True,False,False,24,21,21,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE004,H4A_GEOMETRY_TRANSITION,24,True,True,False,False,24,14,14,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE004,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,False,False,12,6,6,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE005,PRODUCTION,PRODUCTION,True,True,False,False,9,9,9,0,0,,,,
