dataset_role,validity_metric,hypothesis,budget_k,oracle_v2_feasible_production_failure_count,recovered_episode_count,recovery_rate,recovered_event_ids,unrecovered_event_ids
VALIDATION_SEEN_AFTER_V1,USABLE,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,19,18,0.9473684210526315,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE035
VALIDATION_SEEN_AFTER_V1,USABLE,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,19,18,0.9473684210526315,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE035
VALIDATION_SEEN_AFTER_V1,USABLE,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,19,18,0.9473684210526315,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE035
COMBINED_SEEN,HARD,R1_FEASIBILITY_LEXICOGRAPHIC,8,48,31,0.6458333333333334,DVE001|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034,DVE002|DVE004|DVE005|DVE006|DVE022|DVE023|DVE032|DVE039|VUE009|VUE010|VUE011|VUE012|VUE013|VUE014|VUE026|VUE035|VUE036
COMBINED_SEEN,HARD,R1_FEASIBILITY_LEXICOGRAPHIC,12,48,35,0.7291666666666666,DVE001|DVE002|DVE004|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,DVE005|DVE006|DVE022|DVE023|DVE032|DVE039|VUE009|VUE010|VUE011|VUE012|VUE013|VUE014|VUE035
COMBINED_SEEN,HARD,R1_FEASIBILITY_LEXICOGRAPHIC,16,48,36,0.75,DVE001|DVE002|DVE004|DVE005|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,DVE006|DVE022|DVE023|DVE032|DVE039|VUE009|VUE010|VUE011|VUE012|VUE013|VUE014|VUE035
COMBINED_SEEN,HARD,R1_FEASIBILITY_LEXICOGRAPHIC,24,48,36,0.75,DVE001|DVE002|DVE004|DVE005|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,DVE006|DVE022|DVE023|DVE032|DVE039|VUE009|VUE010|VUE011|VUE012|VUE013|VUE014|VUE035
COMBINED_SEEN,HARD,R2_BALANCED_PHYSICS_SCORE,8,48,32,0.6666666666666666,DVE001|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE023|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034,DVE002|DVE004|DVE005|DVE022|DVE032|DVE039|VUE009|VUE010|VUE012|VUE013|VUE014|VUE025|VUE026|VUE032|VUE035|VUE036
COMBINED_SEEN,HARD,R2_BALANCED_PHYSICS_SCORE,12,48,36,0.75,DVE001|DVE004|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE023|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,DVE002|DVE005|DVE022|DVE032|DVE039|VUE009|VUE010|VUE012|VUE013|VUE014|VUE032|VUE035
COMBINED_SEEN,HARD,R2_BALANCED_PHYSICS_SCORE,16,48,39,0.8125,DVE001|DVE002|DVE004|DVE005|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE023|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,DVE022|DVE032|DVE039|VUE009|VUE010|VUE012|VUE013|VUE014|VUE035
COMBINED_SEEN,HARD,R2_BALANCED_PHYSICS_SCORE,24,48,39,0.8125,DVE001|DVE002|DVE004|DVE005|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE023|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,DVE022|DVE032|DVE039|VUE009|VUE010|VUE012|VUE013|VUE014|VUE035
COMBINED_SEEN,HARD,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,48,31,0.6458333333333334,DVE001|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034,DVE002|DVE004|DVE005|DVE006|DVE022|DVE023|DVE032|DVE039|VUE009|VUE010|VUE011|VUE012|VUE013|VUE014|VUE026|VUE035|VUE036
COMBINED_SEEN,HARD,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,48,36,0.75,DVE001|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|DVE039|VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,DVE002|DVE004|DVE005|DVE022|DVE023|DVE032|VUE009|VUE010|VUE012|VUE013|VUE014|VUE035
COMBINED_SEEN,HARD,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,48,38,0.7916666666666666,DVE001|DVE002|DVE004|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|DVE039|VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,DVE005|DVE022|DVE023|DVE032|VUE009|VUE010|VUE012|VUE013|VUE014|VUE035
COMBINED_SEEN,HARD,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,48,39,0.8125,DVE001|DVE002|DVE004|DVE005|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|DVE039|VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,DVE022|DVE023|DVE032|VUE009|VUE010|VUE012|VUE013|VUE014|VUE035
COMBINED_SEEN,USABLE,R1_FEASIBILITY_LEXICOGRAPHIC,8,36,29,0.8055555555555556,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034,DVE002|DVE005|DVE022|DVE039|VUE026|VUE035|VUE036
COMBINED_SEEN,USABLE,R1_FEASIBILITY_LEXICOGRAPHIC,12,36,32,0.8888888888888888,DVE001|DVE002|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,DVE005|DVE022|DVE039|VUE035
