dataset_role,event_id,strict_side_context_count,lateral_factor_evaluations,pair_priority_evaluations_per_hypothesis,transition_factor_count,geometry_json
DEVELOPMENT,DVE015,2,1012,2022,2,"[{""bottleneck_center"": -0.5352969177855798, ""bottleneck_station"": 0.12772409685336705, ""bottleneck_width"": 0.3994061644288404, ""component_count"": 1, ""components"": [[-0.735, -0.33559383557115957]], ""domain_lower"": -0.7350000000000001, ""domain_upper"": -0.33559383557115957, ""lateral_factor_count"": 587, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.5730780414239256, ""bottleneck_station"": 0.12772409685336705, ""bottleneck_width"": 0.7488439171521486, ""component_count"": 1, ""components"": [[0.1986560828478513, 0.9474999999999999]], ""domain_lower"": 0.1986560828478513, ""domain_upper"": 0.9475, ""lateral_factor_count"": 425, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE016,1,614,3677,6,"[{""bottleneck_center"": 0.5737377696269832, ""bottleneck_station"": 1.3112822595681415, ""bottleneck_width"": 0.9975244607460341, ""component_count"": 1, ""components"": [[0.15, 1.0725000000000002]], ""domain_lower"": 0.15, ""domain_upper"": 1.0725000000000002, ""lateral_factor_count"": 614, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE017,2,1012,2022,2,"[{""bottleneck_center"": -0.5352969177855798, ""bottleneck_station"": 0.2763757411808976, ""bottleneck_width"": 0.3994061644288404, ""component_count"": 1, ""components"": [[-0.735, -0.33559383557115957]], ""domain_lower"": -0.7350000000000001, ""domain_upper"": -0.33559383557115957, ""lateral_factor_count"": 587, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.5730780414239256, ""bottleneck_station"": 0.2763757411808976, ""bottleneck_width"": 0.7488439171521486, ""component_count"": 1, ""components"": [[0.1986560828478513, 0.9474999999999999]], ""domain_lower"": 0.1986560828478513, ""domain_upper"": 0.9475, ""lateral_factor_count"": 425, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE018,2,1231,9839,8,"[{""bottleneck_center"": -0.7641263314060531, ""bottleneck_station"": 0.16511212715332757, ""bottleneck_width"": 0.7417473371878942, ""component_count"": 1, ""components"": [[-1.1350000000000002, -0.393252662812106]], ""domain_lower"": -1.1350000000000002, ""domain_upper"": -0.393252662812106, ""lateral_factor_count"": 779, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.4330473816977631, ""bottleneck_station"": 0.16511212715332757, ""bottleneck_width"": 0.6789052366044738, ""component_count"": 1, ""components"": [[0.15, 0.7725]], ""domain_lower"": 0.15, ""domain_upper"": 0.7725, ""lateral_factor_count"": 452, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE019,2,1945,3885,2,"[{""bottleneck_center"": -0.8358257980479378, ""bottleneck_station"": 0.9826821331904823, ""bottleneck_width"": 0.39834840390412474, ""component_count"": 1, ""components"": [[-0.9850000000000001, -0.6366515960958754]], ""domain_lower"": -1.0350000000000001, ""domain_upper"": -0.6366515960958754, ""lateral_factor_count"": 1143, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.4422135325110248, ""bottleneck_station"": 0.9826821331904823, ""bottleneck_width"": 0.6605729349779503, ""component_count"": 1, ""components"": [[0.15, 0.7725]], ""domain_lower"": 0.15, ""domain_upper"": 0.7725, ""lateral_factor_count"": 802, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE020,2,1202,2401,2,"[{""bottleneck_center"": -0.5982632101727117, ""bottleneck_station"": 0.5106477302131935, ""bottleneck_width"": 0.1984735796545768, ""component_count"": 1, ""components"": [[-0.6975, -0.4990264203454232]], ""domain_lower"": -0.6975, ""domain_upper"": -0.4990264203454232, ""lateral_factor_count"": 750, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.4451109405558922, ""bottleneck_station"": 0.5106477302131935, ""bottleneck_width"": 0.6297781188882157, ""component_count"": 1, ""components"": [[0.15, 0.76]], ""domain_lower"": 0.15, ""domain_upper"": 0.76, ""lateral_factor_count"": 452, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE021,2,1039,2076,2,"[{""bottleneck_center"": -0.389688620179444, ""bottleneck_station"": 0.21329925326871546, ""bottleneck_width"": 0.5406227596411121, ""component_count"": 1, ""components"": [[-0.66, -0.15]], ""domain_lower"": -0.6600000000000001, ""domain_upper"": -0.15, ""lateral_factor_count"": 452, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.659089321182772, ""bottleneck_station"": 0.21329925326871546, ""bottleneck_width"": 0.4018213576344561, ""component_count"": 1, ""components"": [[0.4581786423655439, 0.86]], ""domain_lower"": 0.4581786423655439, ""domain_upper"": 0.8600000000000001, ""lateral_factor_count"": 587, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE022,2,1178,2354,2,"[{""bottleneck_center"": -0.6462527021329507, ""bottleneck_station"": 0.5306991850005787, ""bottleneck_width"": 0.17749459573409854, ""component_count"": 1, ""components"": [[-0.71, -0.5575054042659014]], ""domain_lower"": -0.7350000000000001, ""domain_upper"": -0.5575054042659014, ""lateral_factor_count"": 564, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.43849486098691165, ""bottleneck_station"": 0.5306991850005787, ""bottleneck_width"": 0.6930102780261768, ""component_count"": 1, ""components"": [[0.15, 0.785]], ""domain_lower"": 0.15, ""domain_upper"": 0.7850000000000001, ""lateral_factor_count"": 614, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE023,2,1400,2798,2,"[{""bottleneck_center"": -0.43301241289435227, ""bottleneck_station"": 0.2629335155191228, ""bottleneck_width"": 0.6039751742112954, ""component_count"": 1, ""components"": [[-0.735, -0.15]], ""domain_lower"": -0.7350000000000001, ""domain_upper"": -0.15, ""lateral_factor_count"": 598, ""next_obstacle_start"": 1.3558559680967477, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.5903894628702347, ""bottleneck_station"": 0.2629335155191228, ""bottleneck_width"": 0.11422107425953043, ""component_count"": 1, ""components"": [[0.5332789257404695, 0.5725]], ""domain_lower"": 0.5332789257404695, ""domain_upper"": 0.6475, ""lateral_factor_count"": 802, ""next_obstacle_start"": 1.3558559680967477, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE024,2,1217,35263,29,"[{""bottleneck_center"": -0.5598335297269816, ""bottleneck_station"": 0.12155094608168238, ""bottleneck_width"": 0.2003329405460369, ""component_count"": 1, ""components"": [[-0.66, -0.45966705945396313]], ""domain_lower"": -0.6600000000000001, ""domain_upper"": -0.45966705945396313, ""lateral_factor_count"": 765, ""next_obstacle_start"": 1.1206386641861523, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.48214764226711776, ""bottleneck_station"": 0.12155094608168238, ""bottleneck_width"": 0.9557047154657649, ""component_count"": 1, ""components"": [[0.15, 0.9600000000000002]], ""domain_lower"": 0.15, ""domain_upper"": 0.9600000000000002, ""lateral_factor_count"": 452, ""next_obstacle_start"": 1.1206386641861523, ""side"": ""LEFT""}]"
