event_id,dataset_role,lateral_order_exact,transition_order_exact,pair_order_exact,top12_exact,path_digests_verdicts_exact,selected_path_exact,plan_selected_path_exact,no_hidden_legacy_seed,snapshot_lineage_exact,method_sha_exact,bounded_contract_pass,pair_proxy_count,reconstruction_count,validator_count,legacy_seed_count,hard_valid_count,selected_path_digest,failure_classification
VUE037,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
SCE001,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,12,a190d346d1dceee2,NONE
SCE002,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,12,6252cf62c59fbf1b,NONE
SCE003,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,12,fe720e33f9f57ef4,NONE
SCE004,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,12,f5175dc0b94f8197,NONE
SCE005,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,12,87602a80513d644a,NONE
SCE006,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,12,6bc657c12b2f57d1,NONE
SCE007,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,6,ef186819bb103426,NONE
SCE008,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
SCE009,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,8,584a0ec9c1414856,NONE
SCE010,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,11,0fcc29c91ebe70b9,NONE
SCE011,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,8,1b84ec996100cb52,NONE
SCE012,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,11,2f5ee152645aac1a,NONE
SCE013,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,12,46ac316951745763,NONE
SCE014,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,12,4e61dff796ee01f5,NONE
SCE015,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,12,9b0526fbf1543c59,NONE
SCE016,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,7,169fe9355120d70a,NONE
SCE017,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,11,2e2ad2b472703636,NONE
SCE018,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,11,5c97e86e4320738d,NONE
