event_id,dataset_role,repeat,evaluation_wall_us,gqsc_generation_us,exact_validation_us,final_ranking_us,lifecycle_us,fallback_us,callback_total_us,pair_proxy_count,reconstruction_count,validator_count,outcome
VUE032,VALIDATION_SEEN_AFTER_V1,2,6961.4409999999998,4248.4840000000004,2683.0209999999997,3.9950000000000001,393.20299999999997,0,7356.4459999999999,128,12,12,FRESH_SELECTED
VUE032,VALIDATION_SEEN_AFTER_V1,3,6916.8370000000004,4329.6470000000008,2557.7029999999995,4.2770000000000001,397.14499999999998,0,7315.7650000000003,128,12,12,FRESH_SELECTED
VUE032,VALIDATION_SEEN_AFTER_V1,4,7835.3230000000003,4599.4259999999995,3191.2870000000003,5.9509999999999996,453.63,0,8291.5380000000005,128,12,12,FRESH_SELECTED
VUE032,VALIDATION_SEEN_AFTER_V1,5,7347.5799999999999,4656.3549999999996,2652.1950000000002,4.9020000000000001,391.01499999999999,0,7741.6769999999997,128,12,12,FRESH_SELECTED
VUE032,VALIDATION_SEEN_AFTER_V1,6,7165.1959999999999,4385.652,2748.3299999999999,4.3099999999999996,401.68900000000002,0,7568.8860000000004,128,12,12,FRESH_SELECTED
VUE033,VALIDATION_SEEN_AFTER_V1,0,6763.5230000000001,4640.4529999999995,2091.1120000000001,4.3540000000000001,412.53199999999998,0,7177.9840000000004,128,12,12,FRESH_SELECTED
VUE033,VALIDATION_SEEN_AFTER_V1,1,6788.9139999999998,4649.6389999999992,2106.4940000000001,4.3049999999999997,408.50799999999998,0,7199.3059999999996,128,12,12,FRESH_SELECTED
VUE033,VALIDATION_SEEN_AFTER_V1,2,6799.4449999999997,4659.3829999999998,2108.739,4.2400000000000002,404.30599999999998,0,7205.701,128,12,12,FRESH_SELECTED
VUE033,VALIDATION_SEEN_AFTER_V1,3,6756.741,4643.5020000000004,2080.6949999999997,4.141,412.02199999999999,0,7170.866,128,12,12,FRESH_SELECTED
VUE033,VALIDATION_SEEN_AFTER_V1,4,10344.636,6988.1189999999997,3312.2540000000004,7.6130000000000004,465.22300000000001,0,10813.4,128,12,12,FRESH_SELECTED
VUE033,VALIDATION_SEEN_AFTER_V1,5,6929.0190000000002,4804.1199999999999,2087.5329999999999,5.1660000000000004,406.72000000000003,0,7338.9340000000002,128,12,12,FRESH_SELECTED
VUE033,VALIDATION_SEEN_AFTER_V1,6,6984.0900000000001,4764.9979999999987,2178.5790000000002,6.4260000000000002,432.72000000000003,0,7420.1049999999996,128,12,12,FRESH_SELECTED
