path,name,confirmed_static_obstacles,historical_static_obstacles,local_avoidance_path,selected_local_path,global_reference_waypoints,localization_pose,frenet_odometry,vehicle_odometry,simulator_ground_truth_pose,imu,scan,tf,tf_static,particle_cloud,drive_command,steering,CAN_REPLAY_PLANNER_INPUT,CAN_REPLAY_CURRENT_PLANNER_INPUT,HAS_LOCALIZATION,HAS_LOCALIZATION_COVARIANCE,HAS_FRENET_STATE,HAS_ODOMETRY,HAS_IMU,HAS_SCAN,HAS_TF,HAS_TF_STATIC,HAS_PARTICLES,HAS_GT,HAS_PLANNER_OUTPUT,HAS_DRIVE_COMMAND,HAS_STEERING,CAN_AUDIT_LOCALIZATION
/home/sungho/.local/share/Trash/files/frenet_jump_20260728_155301,frenet_jump_20260728_155301,,,,,,/pf/pose/odom,/car_state/frenet/odom,,/ego_racecar/odom,,,,,,,,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,True
/home/sungho/.local/share/Trash/files/jetson_rosbags/2026_IFAC/rosbag2_2026_07_20-20_50_01,rosbag2_2026_07_20-20_50_01,,,,,,,,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,,,,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False
/home/sungho/.local/share/Trash/files/jetson_rosbags/f1tenth_ws/rosbag2_2026_07_20-20_50_29,rosbag2_2026_07_20-20_50_29,,,,,,,,/odom,,/sensors/imu;/sensors/imu/raw,/scan,/tf,/tf_static,,,,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False
/home/sungho/.local/share/Trash/files/jetson_rosbags/f1tenth_ws/rosbag2_2026_07_20-20_50_39,rosbag2_2026_07_20-20_50_39,,,,,,,,/odom,,/sensors/imu;/sensors/imu/raw,/scan,/tf,/tf_static,,/ackermann_cmd,/ackermann_cmd;/commands/servo/position;/sensors/servo_position_command,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,False
/home/sungho/.local/share/Trash/files/jetson_rosbags/rosbag2_2026_07_20-20_49_09,rosbag2_2026_07_20-20_49_09,,,,,,,,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,,/ackermann_cmd,/ackermann_cmd;/commands/servo/position;/sensors/servo_position_command,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,False
/home/sungho/.local/share/Trash/files/jetson_rosbags/rosbag2_2026_07_20-20_50_39,rosbag2_2026_07_20-20_50_39,,,,,,,,/odom,,/sensors/imu;/sensors/imu/raw,/scan,/tf,/tf_static,,/ackermann_cmd,/ackermann_cmd;/commands/servo/position;/sensors/servo_position_command,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,False
/home/sungho/.local/share/Trash/files,files,,/static_obs,,/local_waypoints,/global_waypoints,/pf/pose/odom,,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,,/drive;/drive_autonomous,/commands/servo/position,False,False,True,True,False,True,True,True,True,True,False,False,True,True,True,True
/home/sungho/.local/share/Trash/files/rosbag/rosbag2_2026_07_23-22_25_53,rosbag2_2026_07_23-22_25_53,,,,,,,,/odom,,/sensors/imu/raw,/scan,/tf,,,,,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
/home/sungho/.local/share/Trash/files/rosbag/rosbag2_2026_07_23-22_28_43,rosbag2_2026_07_23-22_28_43,,,,,,,,/odom,,/sensors/imu/raw,/scan,/tf,,,,,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
/home/sungho/.local/share/Trash/files/rosbag/rosbag_20260725_012816,rosbag_20260725_012816,,,,,,/pf/pose/odom,,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,,/drive;/drive_autonomous,,False,False,True,True,False,True,True,True,True,True,False,False,False,True,False,True
/home/sungho/.local/share/Trash/files/rosbag/rosbag_20260725_013231,rosbag_20260725_013231,,,,,,/pf/pose/odom,,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,,/drive;/drive_autonomous,,False,False,True,True,False,True,True,True,True,True,False,False,False,True,False,True
/home/sungho/.local/share/Trash/files/rosbag2_2026_07_20-20_49_09,rosbag2_2026_07_20-20_49_09,,,,,,,,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,,/ackermann_cmd,/ackermann_cmd;/commands/servo/position;/sensors/servo_position_command,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,False
/home/sungho/.local/share/Trash/files/rosbag2_2026_07_20-20_50_39,rosbag2_2026_07_20-20_50_39,,,,,,,,/odom,,/sensors/imu;/sensors/imu/raw,/scan,/tf,/tf_static,,/ackermann_cmd,/ackermann_cmd;/commands/servo/position;/sensors/servo_position_command,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,False
/home/sungho/.local/share/Trash/files/rosbag2_2026_07_23-22_31_21,rosbag2_2026_07_23-22_31_21,,,,,,,,/odom,,/sensors/imu/raw,/scan,/tf,,,,,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
/home/sungho/.local/share/Trash/files/rosbag2_2026_07_23-22_41_11,rosbag2_2026_07_23-22_41_11,,,,,,,,/odom,,/sensors/imu/raw,/scan,/tf,,,,,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
/home/sungho/.local/share/Trash/files/rosbag2_2026_07_23-22_43_33,rosbag2_2026_07_23-22_43_33,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
/home/sungho/.local/share/Trash/files/rosbag2_2026_07_25-22_08_36,rosbag2_2026_07_25-22_08_36,,,,,,/pf/pose/odom,,/odom,,/sensors/imu/raw,/scan,/tf,,,/drive_autonomous,,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,True
/home/sungho/.local/share/Trash/files/rosbag2_2026_07_25-22_08_50,rosbag2_2026_07_25-22_08_50,,,,,,/pf/pose/odom,,/odom,,/sensors/imu/raw,/scan,/tf,,,/drive_autonomous,,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,True
