episode_id,bag,start_elapsed_s,end_elapsed_s,duration_s,callback_count,first_callback_sequence,last_callback_sequence,source_epoch,eligible_snapshot_count,earliest_eligible_callback_sequence,earliest_eligible_evaluation_sequence,earliest_eligible_offset_callbacks,lifecycle_at_episode_start,fallback_at_episode_start
rosbag2_2026_08_24-19_00_30__EP0091,rosbag2_2026_08_24-19_00_30,686.890092114,686.920122585,0.030030471,2,24936,24937,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0092,rosbag2_2026_08_24-19_00_30,687.790340959,687.920087726,0.129746767,6,24972,24977,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0093,rosbag2_2026_08_24-19_00_30,689.040079655,689.070083379,0.030003724,2,25022,25023,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0094,rosbag2_2026_08_24-19_00_30,689.540082301,689.720088873,0.180006572,8,25042,25049,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0095,rosbag2_2026_08_24-19_00_30,690.240079715,690.270109127,0.030029412,2,25070,25071,2,2,25070,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0096,rosbag2_2026_08_24-19_00_30,690.370080558,690.920273428,0.55019287,23,25075,25097,2,23,25075,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0097,rosbag2_2026_08_24-19_00_30,778.620120181,778.700131261,0.08001108,3,28604,28606,2,3,28604,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0098,rosbag2_2026_08_24-19_00_30,779.27009916,779.350089722,0.079990562,3,28621,28623,2,3,28621,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0099,rosbag2_2026_08_24-19_00_30,781.420081134,781.650085482,0.230004348,2,28697,28698,2,1,28697,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0100,rosbag2_2026_08_24-19_00_30,786.320082278,794.150093926,7.830011648,97,28885,28981,2,2,28885,2,0,IDLE,no static obstacle blocks the global race line
rosbag2_2026_08_24-19_00_30__EP0101,rosbag2_2026_08_24-19_00_30,894.420105599,894.600322056,0.180216457,6,32982,32987,2,6,32982,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0102,rosbag2_2026_08_24-19_00_30,902.440204199,903.830098116,1.389893917,29,33301,33329,2,6,33301,1,0,IDLE,OBSTACLE_SOURCE_STALE
rosbag2_2026_08_24-19_00_30__EP0103,rosbag2_2026_08_24-19_00_30,920.020217297,920.070092003,0.049874706,3,33976,33978,2,3,33976,2,0,IDLE,BOUNDARY_HANDOFF_UNRESOLVED
rosbag2_2026_08_24-19_00_30__EP0104,rosbag2_2026_08_24-19_00_30,937.12011543,937.200130334,0.080014904,2,34660,34661,2,2,34660,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0105,rosbag2_2026_08_24-19_00_30,937.340089552,937.510082063,0.169992511,4,34666,34669,2,4,34666,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0106,rosbag2_2026_08_24-19_00_30,937.840200134,937.930108607,0.089908473,2,34679,34680,2,2,34679,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0107,rosbag2_2026_08_24-19_00_30,938.09010189,938.220165587,0.130063697,4,34684,34687,2,4,34684,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0108,rosbag2_2026_08_24-19_00_30,938.390120057,938.720232962,0.330112905,4,34691,34694,2,4,34691,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0109,rosbag2_2026_08_24-19_00_30,939.220107808,939.250128595,0.030020787,2,34712,34713,2,2,34712,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0001,rosbag2_2026_08_24-19_24_17,99.66006648,100.130087459,0.470020979,13,4087,4099,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0002,rosbag2_2026_08_24-19_24_17,107.580248916,107.610078451,0.029829535,2,4394,4395,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0003,rosbag2_2026_08_24-19_24_17,107.760086427,107.950100245,0.190013818,7,4401,4407,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0004,rosbag2_2026_08_24-19_24_17,108.010109494,108.050113775,0.040004281,2,4409,4410,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0005,rosbag2_2026_08_24-19_24_17,108.160128761,108.320096597,0.159967836,5,4414,4418,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0006,rosbag2_2026_08_24-19_24_17,170.230120574,170.330099867,0.099979293,5,6892,6896,2,0,,,,IDLE,BOUNDARY_HANDOFF_UNRESOLVED
rosbag2_2026_08_24-19_24_17__EP0007,rosbag2_2026_08_24-19_24_17,172.310091013,172.360094669,0.050003656,3,6975,6977,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0008,rosbag2_2026_08_24-19_24_17,235.710110955,237.440082715,1.72997176,11,9511,9521,2,0,,,,IDLE,NO_HARD_VALID_M1_CANDIDATE
rosbag2_2026_08_24-19_24_17__EP0009,rosbag2_2026_08_24-19_24_17,241.430107057,244.130153781,2.700046724,79,9675,9753,2,9,9676,1,1,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0010,rosbag2_2026_08_24-19_24_17,281.110131375,281.210110388,0.099979013,5,11232,11236,2,5,11232,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0011,rosbag2_2026_08_24-19_24_17,282.730123782,282.780149454,0.050025672,3,11297,11299,2,3,11297,2,0,IDLE,BOUNDARY_HANDOFF_UNRESOLVED
rosbag2_2026_08_24-19_24_17__EP0012,rosbag2_2026_08_24-19_24_17,282.830188042,282.930106622,0.09991858,5,11301,11305,2,5,11301,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0013,rosbag2_2026_08_24-19_24_17,283.13008513,283.160080118,0.029994988,2,11313,11314,2,1,11314,1,1,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0014,rosbag2_2026_08_24-19_24_17,283.230131917,283.260084656,0.029952739,2,11317,11318,2,2,11317,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0015,rosbag2_2026_08_24-19_24_17,283.560121394,284.430101607,0.869980213,28,11330,11357,2,5,11330,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0016,rosbag2_2026_08_24-19_24_17,284.730168294,285.210104695,0.479936401,14,11369,11382,2,14,11369,2,0,IDLE,BOUNDARY_HANDOFF_UNRESOLVED
rosbag2_2026_08_24-19_24_17__EP0017,rosbag2_2026_08_24-19_24_17,287.030142213,287.060152976,0.030010763,2,11454,11455,2,2,11454,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_24_17__EP0018,rosbag2_2026_08_24-19_24_17,287.450113581,287.710097428,0.259983847,3,11460,11462,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
