dataset_role,event_id,budget_b,lateral_proposal_parity,transition_proposal_parity,pair_pool_order_parity,proxy_tuple_parity,selected_top12_config_parity,candidate_digest_parity,validator_verdict_parity,hard_usable_result_parity,final_selection_parity,all_parity,native_laterals,native_transitions,native_pair_proxies,native_reconstructions,native_validator_calls
VALIDATION_SEEN_AFTER_V1,VUE002,96,1,1,1,1,1,1,1,1,1,1,31,2,60,12,10
VALIDATION_SEEN_AFTER_V1,VUE002,128,1,1,1,1,1,1,1,1,1,1,31,2,60,12,10
VALIDATION_SEEN_AFTER_V1,VUE003,64,1,1,1,1,1,1,1,1,1,1,31,7,64,12,12
VALIDATION_SEEN_AFTER_V1,VUE003,96,1,1,1,1,1,1,1,1,1,1,31,7,96,12,12
VALIDATION_SEEN_AFTER_V1,VUE003,128,1,1,1,1,1,1,1,1,1,1,31,7,128,12,12
VALIDATION_SEEN_AFTER_V1,VUE004,64,1,1,1,1,1,1,1,1,1,1,36,6,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE004,96,1,1,1,1,1,1,1,1,1,1,37,6,96,12,11
VALIDATION_SEEN_AFTER_V1,VUE004,128,1,1,1,1,1,1,1,1,1,1,37,6,128,12,12
VALIDATION_SEEN_AFTER_V1,VUE005,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE005,96,1,1,1,1,1,1,1,1,1,1,40,7,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE005,128,1,1,1,1,1,1,1,1,1,1,40,7,128,12,11
VALIDATION_SEEN_AFTER_V1,VUE006,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE006,96,1,1,1,1,1,1,1,1,1,1,40,7,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE006,128,1,1,1,1,1,1,1,1,1,1,40,7,128,12,11
VALIDATION_SEEN_AFTER_V1,VUE007,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
