event_id,dataset_role,source_kind,seed_index,side,d_target,d_mid,entry_scale,exit_scale,generator_stage,candidate_template,source_cell,root_type,probe_location_rule,probe_anchor_rule,semantic_class,target_value_consumed_by_lateral_bank,transition_value_selected_into_bounded_set,supports_any_hard_lateral,supports_any_usable_lateral,supports_any_hard_transition,supports_any_usable_transition,root_or_probe_numeric_value_read_by_gqsc
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,1,RIGHT,-0.40695853087089273,-0.4869585308708918,0.5145810930150512,3.576248316686247,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,2,RIGHT,-0.40695853087089273,-0.4869585308708918,0.5145810930150512,6.655328217115,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,3,RIGHT,-0.40695853087089273,-0.486958530870893,1.310934367577036,0.593389663145893,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,1,1,1,1,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,4,RIGHT,-0.40695853087089273,-0.486958530870893,1.310934367577036,3.576248316686247,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,1,1,1,1,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,5,RIGHT,-0.40695853087089273,-0.486958530870893,1.310934367577036,6.655328217115,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,6,RIGHT,-0.409740428826035,-0.409740428826035,0.5145810930150512,0.4971684162574945,M1,ZERO_BOUNDARY_SHORT,ZERO_INTERFACE,ZERO_INTERFACE,NONE,NONE,ZERO_INTERFACE_DIRECT_ANCHOR,1,1,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,7,RIGHT,-0.409740428826035,-0.409740428826035,0.7136694116555473,0.4971684162574945,M1,ZERO_BOUNDARY_SPAN,ZERO_INTERFACE,ZERO_INTERFACE,NONE,NONE,ZERO_INTERFACE_DIRECT_ANCHOR,1,1,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,8,RIGHT,-0.40695853087089273,-0.49597926543544546,1.310934367577036,6.655328217115,M1,NEAR_LONG,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,1,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,9,RIGHT,-0.40695853087089273,-0.495979265435446,0.9127577302960436,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,10,RIGHT,-0.40695853087089273,-0.4959792654354458,0.7136694116555473,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,11,RIGHT,-0.40695853087089273,-0.4959792654354446,0.6141252523352992,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,12,RIGHT,-0.40695853087089273,-0.4959792654354449,0.5643531726751752,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,13,RIGHT,-0.40695853087089273,-0.4959792654354474,0.5394671328451132,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,14,RIGHT,-0.40695853087089273,-0.49597926543544485,0.5270241129300821,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,15,RIGHT,-0.40695853087089273,-0.4959792654354461,0.5208026029725666,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,16,RIGHT,-0.40695853087089273,-0.49597926543544607,0.5176918479938089,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,17,RIGHT,-0.40695853087089273,-0.4959792654354476,0.51613647050443,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,18,RIGHT,-0.40695853087089273,-0.4959792654354461,0.5153587817597406,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,19,RIGHT,-0.40695853087089273,-0.4959792654354458,0.5149699373873959,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,20,RIGHT,-0.40695853087089273,-0.49597926543544446,0.5147755152012236,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,21,RIGHT,-0.40695853087089273,-0.4959792654354473,0.5146783041081373,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,22,RIGHT,-0.40695853087089273,-0.49597926543544457,0.5146296985615942,6.655328217115,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
