event_id,method,lateral_factor_count,lateral_factor_cap,transition_factor_count,transition_family_cap,pair_proxy_count,pair_proxy_cap,reconstruction_count,reconstruction_cap,validator_count,validator_cap,legacy_seed_count_consumed,legacy_builder_or_validator_called_inside_standalone,all_bounds_pass
VUE023,LEGACY_SEEDED_TEACHER_B128,30,64,2,7,58,128,12,12,6,12,2,0,1
VUE023,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,10,12,0,0,1
VUE024,LEGACY_SEEDED_TEACHER_B128,30,64,2,7,58,128,12,12,11,12,2,0,1
VUE024,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,11,12,0,0,1
VUE025,LEGACY_SEEDED_TEACHER_B128,64,64,7,7,128,128,12,12,10,12,20,0,1
VUE025,STANDALONE_DIRECT_SEED_B128,61,64,7,7,128,128,12,12,10,12,0,0,1
VUE026,LEGACY_SEEDED_TEACHER_B128,28,64,6,7,128,128,12,12,12,12,7,0,1
VUE026,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,9,12,0,0,1
VUE027,LEGACY_SEEDED_TEACHER_B128,38,64,7,7,128,128,12,12,9,12,30,0,1
VUE027,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,8,12,0,0,1
VUE028,LEGACY_SEEDED_TEACHER_B128,40,64,7,7,128,128,12,12,11,12,9,0,1
VUE028,STANDALONE_DIRECT_SEED_B128,64,64,7,7,128,128,12,12,10,12,0,0,1
VUE029,LEGACY_SEEDED_TEACHER_B128,37,64,6,7,128,128,12,12,11,12,7,0,1
VUE029,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,10,12,0,0,1
VUE030,LEGACY_SEEDED_TEACHER_B128,38,64,7,7,128,128,12,12,11,12,9,0,1
VUE030,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,10,12,0,0,1
VUE031,LEGACY_SEEDED_TEACHER_B128,21,64,6,7,126,128,12,12,10,12,7,0,1
VUE031,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
VUE032,LEGACY_SEEDED_TEACHER_B128,32,64,7,7,128,128,12,12,11,12,12,0,1
VUE032,STANDALONE_DIRECT_SEED_B128,31,64,7,7,128,128,12,12,11,12,0,0,1
VUE033,LEGACY_SEEDED_TEACHER_B128,31,64,2,7,60,128,12,12,10,12,2,0,1
VUE033,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,11,12,0,0,1
VUE034,LEGACY_SEEDED_TEACHER_B128,31,64,2,7,60,128,12,12,10,12,2,0,1
VUE034,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,11,12,0,0,1
VUE035,LEGACY_SEEDED_TEACHER_B128,41,64,2,7,80,128,12,12,11,12,3,0,1
VUE035,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,11,12,0,0,1
VUE036,LEGACY_SEEDED_TEACHER_B128,40,64,2,7,78,128,12,12,12,12,3,0,1
VUE036,STANDALONE_DIRECT_SEED_B128,61,64,7,7,128,128,12,12,10,12,0,0,1
VUE037,LEGACY_SEEDED_TEACHER_B128,64,64,7,7,128,128,12,12,12,12,17,0,1
VUE037,STANDALONE_DIRECT_SEED_B128,64,64,7,7,128,128,12,12,12,12,0,0,1
SCE001,LEGACY_SEEDED_TEACHER_B128,31,64,6,7,128,128,12,12,11,12,6,0,1
SCE001,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,12,12,0,0,1
SCE002,LEGACY_SEEDED_TEACHER_B128,30,64,2,7,58,128,12,12,11,12,2,0,1
SCE002,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,11,12,0,0,1
SCE003,LEGACY_SEEDED_TEACHER_B128,41,64,6,7,128,128,12,12,10,12,10,0,1
SCE003,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,12,12,0,0,1
SCE004,LEGACY_SEEDED_TEACHER_B128,32,64,3,7,92,128,12,12,10,12,4,0,1
SCE004,STANDALONE_DIRECT_SEED_B128,31,64,7,7,128,128,12,12,11,12,0,0,1
SCE005,LEGACY_SEEDED_TEACHER_B128,21,64,6,7,126,128,12,12,11,12,6,0,1
SCE005,STANDALONE_DIRECT_SEED_B128,31,64,7,7,128,128,12,12,12,12,0,0,1
SCE006,LEGACY_SEEDED_TEACHER_B128,64,64,5,7,128,128,12,12,12,12,9,0,1
SCE006,STANDALONE_DIRECT_SEED_B128,64,64,7,7,128,128,12,12,12,12,0,0,1
SCE007,LEGACY_SEEDED_TEACHER_B128,41,64,6,7,128,128,12,12,12,12,12,0,1
SCE007,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,12,12,0,0,1
SCE008,LEGACY_SEEDED_TEACHER_B128,23,64,2,7,44,128,12,12,10,12,2,0,1
SCE008,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
SCE009,LEGACY_SEEDED_TEACHER_B128,32,64,3,7,92,128,12,12,10,12,4,0,1
SCE009,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,11,12,0,0,1
SCE010,LEGACY_SEEDED_TEACHER_B128,64,64,7,7,128,128,12,12,11,12,15,0,1
SCE010,STANDALONE_DIRECT_SEED_B128,64,64,7,7,128,128,12,12,11,12,0,0,1
SCE011,LEGACY_SEEDED_TEACHER_B128,32,64,3,7,92,128,12,12,11,12,4,0,1
SCE011,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,11,12,0,0,1
SCE012,LEGACY_SEEDED_TEACHER_B128,64,64,7,7,128,128,12,12,11,12,15,0,1
SCE012,STANDALONE_DIRECT_SEED_B128,64,64,7,7,128,128,12,12,11,12,0,0,1
SCE013,LEGACY_SEEDED_TEACHER_B128,43,64,6,7,128,128,12,12,10,12,12,0,1
SCE013,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,10,12,0,0,1
SCE014,LEGACY_SEEDED_TEACHER_B128,22,64,6,7,128,128,12,12,12,12,6,0,1
SCE014,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,12,12,0,0,1
SCE015,LEGACY_SEEDED_TEACHER_B128,42,64,6,7,128,128,12,12,10,12,12,0,1
SCE015,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,11,12,0,0,1
SCE016,LEGACY_SEEDED_TEACHER_B128,32,64,7,7,128,128,12,12,11,12,10,0,1
SCE016,STANDALONE_DIRECT_SEED_B128,31,64,7,7,128,128,12,12,11,12,0,0,1
SCE017,LEGACY_SEEDED_TEACHER_B128,32,64,6,7,128,128,12,12,12,12,6,0,1
SCE017,STANDALONE_DIRECT_SEED_B128,64,64,7,7,128,128,12,12,11,12,0,0,1
SCE018,LEGACY_SEEDED_TEACHER_B128,43,64,6,7,128,128,12,12,12,12,12,0,1
SCE018,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,12,12,0,0,1
