event_id,dataset_role,bag,source_kind,legacy_hard_valid,legacy_usable_valid,legacy_selected_digest,teacher_hard_valid,teacher_usable_valid,standalone_hard_valid,standalone_usable_valid,teacher_selected_digest,standalone_selected_digest,selected_digest_exact,teacher_vs_legacy_selected_digest_exact,standalone_vs_legacy_selected_digest_exact,teacher_hard_candidate_count,standalone_hard_candidate_count,hard_candidate_digest_intersection,hard_candidate_digest_union,teacher_usable_candidate_count,standalone_usable_candidate_count,usable_candidate_digest_intersection,usable_candidate_digest_union,teacher_reconstructions,teacher_validators,standalone_reconstructions,standalone_validators
VUE001,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
VUE002,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,12
VUE003,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,12,12,12
VUE004,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,fd83e76f796eea5b,54d1dcfbccfb6742,0,0,0,4,1,1,4,4,1,1,4,12,12,12,9
VUE005,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,1fe5aee2e5533c11,1fe5aee2e5533c11,1,0,0,10,10,9,11,10,10,9,11,12,11,12,10
VUE006,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,d8bdaaae9fe32628,d5e23cc92a60f607,0,0,0,10,10,8,12,10,10,8,12,12,11,12,10
VUE007,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,27f98bf62a6b2b58,27f98bf62a6b2b58,1,0,0,10,8,7,11,10,8,7,11,12,11,12,10
VUE008,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,66717e3ce272da88,fe77a7df463e3d24,0,0,0,3,2,1,4,3,2,1,4,12,11,12,9
VUE009,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,0,0,0,d69ecf001e596f20,NONE,0,0,1,1,0,0,1,0,0,0,0,12,10,12,10
VUE010,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,11,12,10
VUE011,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,0,1,0,c6533a9f9f84b522,6a1b79629e031da0,0,0,0,6,7,0,13,0,0,0,0,12,11,12,10
VUE012,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
VUE013,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
VUE014,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,0,0,0,e3c5d3dfd9280946,NONE,0,0,1,3,0,0,3,0,0,0,0,12,10,12,10
VUE015,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
VUE016,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
VUE017,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,12,12,12
VUE018,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,98ccabf32fa2e493,98ccabf32fa2e493,1,0,0,4,2,2,4,4,2,2,4,12,11,12,10
VUE019,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,11,12,11
VUE020,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,814707825e82708f,814707825e82708f,1,0,0,1,1,1,1,1,1,1,1,12,10,12,10
